,vote_average,runtime,genres,season,rating,revenue_adj,budget_adj
31,7.193,142,"Science Fiction, Adventure, Fantasy",Spring,PG-13,20.6857440273765,18.460191575521804
32,7.345,133,"Action, Adventure, Science Fiction, Drama",Summer,PG-13,20.853889522051013,19.238563920126822
33,7.721,161,"Adventure, Fantasy",Fall,PG,21.165613794335272,18.994632259718628
34,7.624,137,"Science Fiction, Adventure, Action",Spring,PG-13,20.835068326759924,19.372095312751345
35,8.385,179,"Adventure, Fantasy, Action",Winter,PG-13,21.220646627393418,18.75890992619756
36,6.995,124,"Action, Adventure, Science Fiction",Summer,PG-13,20.08657770007784,19.11317837179508
37,5.909,123,"Action, Adventure, Fantasy",Summer,PG-13,20.714331173536593,19.263256944512747
38,8.02,141,"Adventure, Fantasy",Spring,PG,21.016525811159884,19.21227474676283
39,6.768,115,"Adventure, Fantasy, Action",Spring,PG-13,20.27928600677438,19.182171243282028
40,6.835,124,"Adventure, Action, Science Fiction",Spring,PG-13,20.62376622386251,19.486040069095218
41,7.701,140,"Action, Crime, Drama",Summer,PG-13,20.240315419630317,19.32611040000921
42,7.595,131,"Action, Adventure, Science Fiction",Fall,PG-13,20.825232342327624,19.26673479709352
43,7.922,95,"Animation, Family, Adventure, Drama, Comedy",Summer,PG,20.86625924410797,19.2768943984155
44,6.682,124,"Action, Adventure, Science Fiction, Thriller",Summer,PG-13,21.533607531537065,19.12274371858824
45,8.368,127,"Crime, Mystery, Thriller",Fall,R,20.34445673542507,18.050050883226877
46,7.816,157,"Adventure, Fantasy",Fall,PG-13,21.113327385539968,19.32611040000921
47,7.794,143,"Adventure, Fantasy, Action",Summer,PG-13,20.848472014483498,19.305462065726505
48,8.105,130,"Fantasy, Adventure",Summer,PG-13,21.373087982042946,18.999849686488076
49,8.204,121,"Adventure, Action, Science Fiction",Spring,PG,22.150526319228735,17.895045137079887
50,7.236,141,"Action, Adventure, Fantasy",Spring,PG-13,20.786557078956903,19.077724252148766
51,7.949,96,"Animation, Comedy, Family, Adventure",Spring,PG,20.81364628504631,19.378426963400248
52,7.082,117,"Science Fiction, Action, Adventure",Summer,PG-13,20.364613215708445,18.97964287494757
53,8.707,175,"Drama, Crime",Spring,R,21.351697736136423,17.64192796624519
54,7.678,141,"Drama, Adventure, Science Fiction",Fall,PG-13,20.558780171602944,18.794239651616206
55,8.314,116,"Adventure, Comedy, Science Fiction",Summer,PG,20.850553088479014,17.851904644769643
56,7.293,136,"Adventure, Action, Science Fiction",Winter,PG-13,21.746553789670614,19.613366635036712
57,7.99,148,"Action, Adventure, Science Fiction",Winter,PG-13,21.560470848183062,19.2977461751911
58,7.686,138,"Adventure, Fantasy",Summer,PG-13,21.09982835571166,19.26648692694327
59,7.697,153,"Adventure, Fantasy",Summer,PG,21.0530737404558,19.73510190733898
60,7.8,137,"Action, Drama, Science Fiction",Winter,R,20.501917848336763,18.64848892470669
61,7.824,100,"Animation, Family",Spring,G,21.210056407880106,18.907114425387203
62,7.242,135,"Horror, Fantasy",Fall,R,20.627426409352424,17.762657400317245
63,7.421,101,"Action, Thriller",Fall,R,18.597169353241025,17.106946815521308
64,7.334,132,"Fantasy, Adventure, Family",Fall,PG-13,20.794692952654845,19.291427821479445
65,7.763,146,"Adventure, Fantasy",Fall,PG-13,21.048706938961228,19.709183620409426
66,8.222,105,"Family, Animation, Fantasy, Music, Comedy, Adventure",Fall,PG,20.75904697655049,19.238563920126822
67,7.671,136,"Action, Adventure, Science Fiction",Spring,PG-13,20.68317055863023,19.24701297901758
68,7.279,121,"Fantasy, Action",Spring,PG-13,21.100847845087916,19.323936006861228
69,8.078,98,"Animation, Family, Science Fiction",Summer,G,20.470287852312392,19.40689626087207
70,7.892,149,"Mystery, Thriller, Drama",Fall,R,20.022906078155323,18.222088406140628
71,7.339,169,"Adventure, Fantasy, Action",Winter,PG-13,21.071342712811763,19.66416437984774
72,7.835,92,"Animation, Comedy, Family",Fall,G,20.763343455767714,19.14575150759077
73,7.971,81,"Animation, Adventure, Family, Comedy",Fall,G,20.53090894448888,17.95474070342255
74,7.5,157,"Western, Drama, Adventure",Winter,R,20.390536979430046,19.017383202930414
75,5.952,152,"Action, Adventure, Fantasy",Spring,PG-13,20.87113653253267,19.61993188845148
76,8.256,89,"Family, Animation, Drama",Summer,G,21.219055989846197,18.38786356097397
77,8.209,155,"Action, Drama, Adventure",Spring,R,20.580275863032593,19.072191024587106
78,8.133,103,"Comedy, Drama",Summer,PG,20.05744920643761,18.575397034654433
79,7.704,115,"Action, Adventure, Animation, Family",Fall,PG,20.792746534764113,18.866528873356287
80,7.6,116,"Drama, Science Fiction, Mystery",Fall,PG-13,19.413587369920965,17.948618572299292
81,8.515,133,"Comedy, Thriller, Drama",Spring,R,19.589267109964712,16.468253504645855
82,6.538,112,"Action, Adventure, Fantasy",Fall,PG-13,20.5957947019196,19.26267909576198
83,6.691,136,"Action, Adventure, Fantasy",Summer,PG-13,20.77329536982912,19.513341490113156
84,7.337,117,"Horror, Thriller",Winter,PG-13,19.703032107041274,16.271002523539526
85,7.492,120,"Action, Comedy, Adventure",Spring,R,20.720109549596515,18.75376467232443
86,8.218,144,"Horror, Thriller",Spring,R,19.01383464950875,18.15647416650142
87,7.97,111,"Action, Crime",Fall,R,19.561797622571866,17.765017024779354
88,7.4,146,"Adventure, Action, Science Fiction",Fall,PG-13,20.889623744742153,18.9944151091673
89,8.277,113,"Drama, Comedy",Fall,R,20.22735582096438,16.73648530664731
90,7.62,104,"Mystery, Thriller, Horror",Winter,R,19.616640091350995,15.577855342979582
91,8.007,113,"History, Drama, Thriller, War",Fall,PG-13,19.564635168779485,16.750271871582576
92,7.997,135,"Music, Drama, History",Fall,PG-13,20.86010581401725,18.00452802511344
93,8.507,189,"Fantasy, Drama, Crime",Winter,R,20.123272492985073,18.558827155698204
94,7.173,113,"Action, Mystery, Science Fiction, Thriller",Fall,PG-13,19.96433574039514,17.63757506658348
95,7.312,100,Comedy,Summer,R,20.36490630171862,17.768989050966148
96,8.4,124,"Adventure, Action, Science Fiction",Spring,PG,21.500636965665496,18.102406945231145
97,7.73,90,"Animation, Comedy, Fantasy, Adventure, Family",Spring,PG,20.590834166128825,18.49516394144962
98,7.809,111,"Animation, Comedy, Family, Fantasy",Summer,G,20.691562802218577,19.26648692694327
99,7.636,129,"Crime, Comedy, Action, Adventure",Winter,R,20.137929300400575,18.505663696639758
100,7.897,129,"Comedy, Drama, Romance, Music",Fall,PG-13,20.201941218871518,17.49966835225139
101,7.2,102,"Animation, Family, Adventure, Fantasy",Fall,PG,21.276969386662987,19.137515952807973
102,7.456,107,"War, Action, Drama",Summer,PG-13,20.34097849474467,19.084413240299565
103,7.748,109,"Animation, Adventure, Family, Comedy",Winter,PG,21.02973200690809,19.10910626468549
104,6.44,89,"Action, Science Fiction",Summer,R,20.239967540108783,17.800093996081255
105,7.941,127,"Adventure, Science Fiction",Summer,PG-13,21.430615470327446,18.749267836930663
106,8.3,119,"Crime, Drama, Thriller",Winter,R,20.272398875181032,17.608308180475138
107,8.539,125,"Animation, Family, Fantasy",Summer,PG,20.017318057973245,17.34525835839396
108,6.967,129,"Family, Fantasy, Romance",Spring,PG,21.217487143448697,19.148951761437136
109,7.346,151,"Adventure, Fantasy, Action",Summer,PG-13,21.24774501108436,19.574712949541613
110,7.738,102,"Adventure, Family, Animation, Action, Comedy",Fall,PG,20.60015777947933,19.217160015867897
111,7.345,116,"Thriller, Crime",Spring,PG-13,19.989727404566143,18.444368772248026
112,6.796,123,"Science Fiction, Adventure, Thriller",Fall,PG-13,20.738404644540605,18.93952827926962
113,6.826,112,"Science Fiction, Action",Fall,PG-13,20.80565415319369,18.80687449763838
114,8.203,130,"Drama, Mystery, Science Fiction",Fall,PG-13,18.973928983473385,17.96527503710751
115,7.201,101,"Drama, Science Fiction, Thriller",Winter,PG-13,20.62816417812239,19.26648692694327
116,8.209,169,"Drama, History, War",Summer,R,20.658666467684363,18.72954771448169
117,6.843,124,"Action, Adventure, Science Fiction",Spring,PG-13,21.06911666048652,19.061771562556256
118,7.5,113,"Action, Crime",Summer,R,19.49848602693139,17.60013847081947
119,8.573,195,"Drama, History, War",Winter,R,20.378712423691294,17.697175563897446
120,7.892,132,"Adventure, Action, Science Fiction",Spring,PG,21.333614060878364,18.459866062425462
121,7.447,129,"Action, Adventure, Science Fiction",Summer,PG-13,21.0695686906762,19.113064856943808
122,7.227,143,"Action, Adventure, Thriller",Fall,PG-13,21.183652459711745,19.441020828533528
123,7.162,91,"Science Fiction, Thriller, Drama",Fall,PG-13,20.710556380625977,18.78084100886924
124,7.5,132,"Action, Adventure, Science Fiction",Spring,PG-13,20.728434047229353,19.632675459829564
125,7.6,140,"Adventure, Action, Science Fiction",Spring,PG-13,20.462264616728717,19.218070280455528
126,6.807,116,"Action, Drama, Horror, Science Fiction, Thriller",Summer,PG-13,20.403270356452502,19.425198025259753
127,7.971,141,"Drama, Crime",Winter,PG-13,20.253417946608767,18.340705792311965
128,7.488,133,"Action, Adventure, Science Fiction",Winter,PG-13,21.060768669180188,19.39678833713727
129,6.825,152,"Adventure, Action, Science Fiction",Winter,PG-13,21.26873930687159,19.372095312751345
130,6.614,143,"Action, Adventure, Science Fiction",Summer,PG-13,20.631236970645453,19.542981060916137
131,7.227,95,"Family, Animation, Comedy",Summer,PG,20.467518127212387,18.42182920714444
132,7.258,127,"Action, Adventure, Fantasy",Summer,PG-13,21.015476772601314,19.643057662855284
133,8.404,117,"Action, Adventure, Animation, Science Fiction",Winter,PG,19.981448570902074,18.55309397686228
134,7.04,115,"Adventure, Comedy, Family, Fantasy",Summer,PG,20.47872414567991,19.32611040000921
135,8.381,107,"Drama, Music",Fall,R,16.683215898606253,15.305137010439752
136,8.166,151,"Drama, Thriller, Crime",Fall,R,19.951315512964676,18.77620525332384
137,8.049,100,"Comedy, Drama",Winter,R,19.273714006677004,17.51241192362947
138,7.792,103,"Animation, Family, Comedy",Summer,G,21.1603005588816,19.486040069095218
139,8.188,113,"Mystery, Thriller",Fall,R,18.119394818116174,16.634686613693688
140,8.101,108,"Science Fiction, Drama, Romance",Spring,R,18.62498508756368,17.340472569861237
141,8.316,111,"Crime, Drama, Action",Fall,R,18.39417634888885,17.35378979344343
142,7.672,108,"Drama, Thriller, Horror",Winter,R,19.984989588275557,16.752672060008717
143,7.897,132,"Action, Thriller, Science Fiction",Winter,R,19.16306150797088,18.26537962955785
144,6.5,136,"Adventure, Action, Science Fiction",Spring,PG,21.293538283563382,19.20941472183935
145,7.862,126,"Romance, Science Fiction, Drama",Winter,R,17.984473898269346,17.262374874640866
146,7.239,169,"Adventure, Fantasy, Action",Spring,PG-13,21.123826041817303,19.959634107503213
147,7.309,144,"Action, Adventure, Fantasy",Winter,PG-13,20.973993153549273,19.632675459829564
148,8.132,99,"Crime, Thriller",Fall,R,15.688932766527724,14.820520114898034
149,7.746,188,"Drama, Mystery, Western",Winter,R,19.160425536711273,17.896298058410245
150,8.147,117,"Horror, Science Fiction",Spring,R,19.995577476788604,17.74016212474095
151,7.202,129,"Action, Adventure, Crime, Mystery",Winter,PG-13,20.475187403216125,18.713450659807
152,6.627,108,"Family, Fantasy, Adventure",Spring,PG,21.12062620738537,19.486040069095218
153,6.538,137,"Adventure, Action, Fantasy",Spring,PG-13,21.123990944517406,20.1090721542682
154,6.398,139,"Fantasy, Action, Adventure",Spring,PG-13,21.05265677329567,19.80881121776863
155,7.396,91,"Horror, Drama, Science Fiction",Spring,PG-13,19.88516678381553,16.88649765058823
156,6.9,143,"Action, Adventure, Fantasy",Winter,PG-13,21.099521050166647,19.128458121765842
157,7.876,136,"Action, Crime, Thriller",Spring,R,19.36966935277418,17.7459376779694
158,6.936,117,"Animation, Adventure, Comedy, Family",Summer,G,20.411923999384147,19.06388732577562
159,7.589,92,"Animation, Comedy, Family",Fall,G,20.673810514263483,18.964292263806367
160,7.184,98,"Action, Adventure, Comedy, Science Fiction",Summer,PG-13,20.87573270143314,18.99645335350585
161,7.606,114,"Action, Science Fiction",Spring,PG-13,20.02617933273098,19.292998092259403
162,7.175,117,"Action, Adventure, War",Spring,R,20.378525002813763,18.430238902742648
163,6.827,119,"Adventure, Action, Comedy, Fantasy",Winter,PG-13,20.97686144640111,18.573587616533572
164,7.931,118,"Science Fiction, Drama, Thriller",Summer,R,18.750734158954565,18.351899939055116
165,7.411,140,"Adventure, Action, Science Fiction",Spring,PG-13,21.060711455397314,19.042862924625293
166,8.195,139,"Drama, History, War",Fall,R,19.264983190834705,17.78735042470317
167,6.286,122,"Fantasy, Drama, Romance",Fall,PG-13,20.189317226689393,17.824857322626084
168,7.012,93,"Animation, Adventure, Comedy, Family, Action, Fantasy",Summer,PG,20.43238787656498,19.363059287063816
169,6.951,119,"Action, Adventure, Science Fiction",Summer,PG-13,20.487307637116018,18.99492672914132
170,7.09,97,"Fantasy, Adventure, Action, Family, Romance",Spring,PG,20.74260979158864,19.304171392857526
171,6.934,116,"Drama, Romance, Science Fiction",Winter,PG-13,19.812679412140763,18.79895133638165
172,7.398,127,"Adventure, Drama",Fall,PG,20.554548929653876,18.93019520476754
173,7.572,108,"Drama, Science Fiction",Winter,R,17.71949074293123,16.820158625594196
174,6.498,141,"Action, Adventure, Fantasy",Spring,PG-13,20.675016926043686,19.409531908515355
175,7.544,164,"Science Fiction, Drama",Fall,R,19.631530900521096,19.084413240299565
176,7.348,81,"Animation, Comedy, Family, Adventure",Spring,PG,20.33816821100905,18.466999517636257
177,6.6,142,"Adventure, Action, Science Fiction",Spring,PG,20.865508358711644,19.176953816512583
178,6.098,120,"Action, Adventure, Science Fiction",Fall,PG-13,20.562871909365807,19.77756042085951
179,7.57,161,"Fantasy, Adventure, Action",Winter,PG-13,20.9921458860729,19.648341576573962
180,7.437,162,"Comedy, Drama, Thriller",Summer,R,19.962818397001495,18.59176793331052
181,8.455,116,"Comedy, Drama",Winter,PG-13,19.935152260819343,17.492375956729575
182,6.513,144,"Action, Adventure, Science Fiction, Fantasy",Spring,PG-13,20.39730033342114,19.280254520881318
183,7.471,120,"Drama, Comedy",Fall,R,18.748029644009797,17.001586299863483
184,6.92,139,"Action, Adventure, Science Fiction",Spring,PG-13,19.777246058584172,18.553865798457633
185,7.427,133,"War, Action",Winter,R,20.407047583716228,18.1853563968719
186,7.813,98,"Fantasy, Adventure, Animation, Family",Spring,PG,20.392036942537363,19.29366817644776
187,7.481,118,"Action, Adventure, Animation, Family",Summer,PG,21.178410796078943,19.35160167308005
188,7.716,105,"Fantasy, Drama, Romance",Winter,PG-13,18.689136788933386,17.714577148935252
189,7.323,122,"Action, Thriller, Crime",Winter,R,19.21859376302688,17.762657400317245
190,7.296,132,"Action, Science Fiction, Adventure",Summer,PG-13,20.039770501604014,19.2467097644196
191,8.2,137,"Science Fiction, Drama",Winter,R,19.162807302653306,16.670767066593204
192,7.579,166,"Drama, Fantasy, Romance",Winter,PG-13,20.030463451196006,19.224574704078115
193,7.646,108,"Action, Thriller, Science Fiction",Fall,R,19.303641191219818,16.798482668656273
194,7.752,108,"Adventure, Comedy, Science Fiction",Fall,PG,20.574694936876767,18.458439422074214
195,8.104,137,"Action, Thriller, Science Fiction",Summer,R,20.91769801288417,19.28884201459297
196,8.464,145,"Drama, Crime",Fall,R,18.565475662042356,17.937720700249464
197,7.572,100,"Drama, Thriller, Crime",Fall,R,18.52894741358305,16.879586150287984
198,6.878,131,"Action, Science Fiction, Adventure",Summer,PG-13,20.145480943742566,19.31983750960193
199,6.9,137,"Action, Adventure, Science Fiction",Fall,PG-13,20.594341174942766,19.18728223972581
200,7.3,101,"Family, Animation, Comedy, Adventure",Fall,PG,20.298034669119325,19.248648935886074
201,7.8,114,"Fantasy, Drama, Mystery",Fall,R,16.415722399769784,16.192578848455575
202,6.407,107,"Comedy, Fantasy",Summer,R,20.45147256197775,18.054726467413637
203,7.379,143,"Drama, Romance",Spring,PG-13,19.98778202939404,18.78084100886924
204,7.6,107,"Adventure, Comedy, Family, Animation",Fall,PG,20.636408852115554,19.10910626468549
205,7.247,123,"Drama, Fantasy, Romance",Winter,R,19.348485337897188,17.044192411773007
206,7.924,115,"Adventure, Action",Summer,PG,21.06622540302201,17.990640257760905
207,7.3,88,"Comedy, Horror",Fall,R,18.842445081481653,17.3748877015083
208,7.042,97,"Adventure, Animation, Comedy, Family",Summer,PG,21.034396601954597,19.39678833713727
209,7.918,110,"Drama, Romance",Summer,PG-13,19.43574495291991,17.094203244143223
210,7.99,119,"War, History, Thriller",Winter,R,20.015860584476115,18.643061227698073
211,8.167,132,"Romance, Drama",Fall,R,17.838299191996725,15.460072307323198
212,7.13,122,"Drama, Comedy, Romance",Fall,R,19.608281423794992,17.187225899708917
213,7.249,93,"Animation, Family, Comedy, Fantasy, Adventure",Spring,PG,21.178591488503475,19.3553755904035
214,5.819,158,"Action, Adventure, Science Fiction",Fall,PG-13,20.887214299865104,19.51195835602477
215,8.591,202,"Drama, Crime",Winter,R,20.355414010124395,18.289525434849264
216,8.0,122,Drama,Fall,R,20.340246126328665,17.172532794578313
217,6.535,124,"Science Fiction, Adventure, Mystery",Spring,R,20.142519213014545,19.010237912441074
218,7.358,121,Drama,Fall,PG-13,19.603468886468157,17.876602156661118
219,6.648,128,"Adventure, Action, Fantasy",Spring,PG-13,20.75327951170509,19.511857255126504
220,7.847,131,"Comedy, Crime, Mystery",Fall,PG-13,19.78376804487151,17.726770495823917
221,8.149,127,Drama,Winter,R,19.91688410366557,16.79922877616963
222,5.882,125,"Drama, Romance, Thriller",Winter,R,20.459508366139445,17.80098787860592
223,7.384,109,"Comedy, Drama, Romance",Summer,PG-13,20.065456618903237,17.831743644482987
224,8.2,114,"Crime, Drama",Winter,R,18.901400135088597,16.189847303435183
225,7.503,136,"Music, Drama, Romance",Fall,R,20.126072738716697,17.636803244988123
226,7.518,135,"War, Drama, Action",Fall,R,19.466941513581922,18.330722247143424
227,6.204,114,"Science Fiction, Action, Adventure",Summer,PG-13,19.31204864851137,19.224574704078115
228,7.12,117,"Action, Crime",Spring,R,18.75403670013477,17.519927212722386
229,6.939,115,"Action, Science Fiction",Summer,PG-13,20.1947418385533,19.132232039089292
230,7.933,122,"Crime, Drama, Thriller",Summer,R,19.401176117394474,17.47472745771521
231,7.289,105,"Thriller, Action, Drama, Science Fiction",Summer,PG-13,20.351263088883535,18.70413544233903
232,7.43,116,"Thriller, Crime",Winter,PG-13,20.511659360119403,18.843470635717836
233,7.944,107,"Mystery, Thriller, Drama",Summer,PG-13,20.975940054053062,18.15336204759004
234,7.905,122,"Comedy, Romance",Spring,R,19.559426037587905,16.703404472221564
235,8.168,169,"Action, Crime, Drama",Winter,R,19.17326019074625,18.202127866346753
236,8.091,153,"Drama, Thriller, Crime",Fall,R,18.93193958269471,17.955522055200813
237,8.352,119,Drama,Summer,R,17.653889678156705,17.476784745986322
238,7.541,112,"Horror, Thriller",Summer,R,19.89647035561378,16.691830016173252
239,7.598,126,"Romance, Drama",Spring,PG-13,19.83860557517291,16.750271871582576
240,7.88,123,"Romance, Drama",Summer,PG-13,19.09490418468137,17.71203612629372
241,7.945,134,"Drama, History",Fall,R,19.357989275566304,17.122612932265707
242,6.953,109,"Action, Thriller, Science Fiction",Fall,PG-13,19.330192295265864,17.86041540329971
243,7.645,95,"Animation, Family, Adventure, Fantasy, Romance",Fall,G,20.86087446208464,17.970403068279282
244,8.242,130,"Drama, Comedy",Fall,PG-13,19.82066736259781,17.188778522461163
245,7.599,100,"Animation, Family",Fall,PG,20.572008986128843,19.748404333562707
246,7.662,143,"Adventure, Drama",Winter,PG-13,20.50039139518912,18.937271706687735
247,6.996,104,"Adventure, Action, Science Fiction",Summer,PG-13,20.128967883997213,18.75495014989378
248,6.916,98,"Animation, Comedy, Family",Summer,PG,21.004961870359544,18.45761399899805
249,7.24,90,"Action, Adventure, Animation, Family, Comedy",Summer,PG,20.6624245452119,19.08147386043744
250,6.8,143,"Adventure, Science Fiction, Action",Summer,PG-13,20.82070775875362,19.26648692694327
251,7.512,115,"Science Fiction, Adventure, Family, Fantasy",Summer,PG,21.69547514389371,17.371070686043392
252,7.387,94,"Action, Thriller",Winter,PG-13,19.638142752294954,17.432815234850057
253,6.548,129,"Action, Adventure, Science Fiction, Thriller",Summer,PG-13,21.23142261053667,19.189082743582276
254,7.842,117,"Comedy, Crime",Spring,R,18.331423028009734,17.189102673534542
255,7.306,130,"Science Fiction, Action, Drama, Thriller",Summer,PG-13,20.67738693960231,19.24701297901758
256,8.312,128,Drama,Summer,PG,20.23279886843916,17.566841302790433
257,6.876,134,"Fantasy, Adventure, Family",Fall,PG-13,20.53769951949077,19.35160167308005
258,7.775,131,"Action, Thriller",Summer,R,19.762288816914918,18.1473804944949
259,6.83,129,"Crime, Thriller, Action, Mystery",Summer,PG-13,19.912306942617914,18.598280640919498
260,7.412,103,"Comedy, Family",Fall,PG,20.88570008897375,17.609216633277427
261,7.039,138,"Adventure, Action, Thriller, Science Fiction",Spring,R,20.96857574071565,19.374454937213457
262,6.892,86,"Family, Animation, Adventure, Comedy",Spring,PG,20.610858897463043,18.632963219449262
263,7.86,123,"Drama, Romance",Fall,PG-13,18.929289545872436,16.819264743069528
264,7.703,118,"Crime, Drama, Thriller",Fall,R,18.02921961907301,16.25128070546359
265,6.817,131,"Action, Thriller, Crime",Spring,PG-13,20.79724254797628,19.202054473945545
266,6.618,124,"Action, Science Fiction, Adventure, Mystery",Spring,PG-13,19.783461708483607,18.91437240149376
267,6.706,101,"Fantasy, Comedy",Spring,PG-13,20.54712874648024,18.74584627779108
268,7.994,116,Drama,Winter,R,19.812206645900122,17.710446971448338
269,7.238,137,"Action, Thriller, Crime",Spring,PG-13,21.435504462923475,19.35913249665247
270,6.395,91,"Family, Animation, Adventure, Comedy",Summer,PG,21.16546159396341,18.416173517696155
271,7.543,144,"Adventure, Action, Thriller",Fall,PG-13,20.67173390604539,19.28703087708983
272,7.53,126,"Adventure, Fantasy, Action, Thriller, Science Fiction",Spring,PG-13,20.072290392120532,18.99645335350585
273,7.734,120,"Drama, Romance",Fall,R,20.14991910617955,16.92198961108407
274,7.0,104,"Animation, Family",Summer,G,20.73832959221214,19.425198025259753
275,7.186,105,"Thriller, Mystery, Science Fiction",Spring,PG-13,19.258202562236942,17.467372815190103
276,6.533,148,"Action, Adventure, Thriller",Fall,PG-13,20.892796639412033,19.613366635036712
277,7.8,103,Drama,Fall,PG-13,17.651259361968147,16.70765281944703
278,7.757,118,"Fantasy, Drama, War",Fall,R,18.698342517783473,17.220834562160015
279,7.239,104,"Adventure, Fantasy, Family",Winter,PG,20.125020090426464,18.727930591656033
280,7.654,192,"Science Fiction, Adventure, Action",Winter,PG-13,21.63645876340462,20.018254914304627
281,7.126,143,"Adventure, Family, Fantasy",Winter,PG,20.92887692816441,19.50843195680316
282,7.4,102,"Thriller, Drama, Crime",Spring,R,17.971632104596985,16.38337218541278
283,6.254,107,"Adventure, Action, Thriller, Science Fiction",Spring,PG-13,20.13538793111295,19.22427628357299
284,6.468,102,Comedy,Spring,R,20.54615916367937,18.553562583859655
285,7.13,129,"Adventure, Action, Crime, Mystery",Fall,PG-13,19.984516566381018,18.999849686488076
286,6.887,136,"Action, Crime, Thriller",Spring,PG-13,21.193417724989068,19.595238864065553
287,7.447,131,"Action, Thriller, Crime",Spring,R,19.826963133366284,18.04522422694245
288,6.514,118,"Action, Adventure, Fantasy",Spring,PG-13,20.413524737868848,19.294133771281633
289,7.465,119,"Adventure, Comedy, Science Fiction",Spring,PG,20.218172991839108,18.4077243294952
290,6.51,106,"Action, Comedy, Science Fiction",Spring,PG-13,20.578896739690713,19.558803864189912
291,6.7,131,"Science Fiction, Action, Thriller, Adventure",Fall,PG-13,19.856060059818788,18.222982288665296
292,8.136,117,"Drama, War",Summer,R,18.69123312449596,18.256043618365
293,7.0,108,"Action, Crime",Winter,R,19.338156263381507,18.330817556552496
294,6.878,109,"Action, Comedy, Crime",Spring,R,19.448916217756498,17.88037308026886
295,8.42,133,Drama,Fall,R,20.304187748240903,16.711623958428113
296,6.877,118,"Action, Thriller, Science Fiction",Fall,R,17.993744281678843,17.54390084364765
297,8.195,106,"Drama, Crime, Thriller",Summer,R,17.70377912716776,16.345302790988452
298,7.5,157,"Crime, Drama, Mystery, Thriller",Spring,R,18.69598105335676,18.430238902742648
299,6.677,120,"Action, Comedy, Drama, Thriller",Summer,PG-13,20.50432970350179,19.015955471705368
300,6.972,141,"Action, Adventure, Comedy",Fall,R,20.0921343005336,18.71816884534468
301,7.659,124,"Horror, Thriller, Adventure",Summer,PG,21.76713276189631,17.558921818815318
302,6.6,108,"Action, Adventure, Comedy, Family, Fantasy",Winter,PG,20.629862330727164,18.97687594878599
303,6.361,119,"Action, Adventure, Science Fiction, Thriller",Spring,PG-13,19.805849071675997,18.8125887902844
