,vote_average,runtime,genres,season,rating,revenue_adj,budget_adj
22,8.035,180,"Crime, Drama, Comedy",Winter,R,535195414.2782699,136529442.41792598
23,7.276,141,"Action, Adventure, Science Fiction",Spring,PG-13,1890653345.4008648,491025086.96786994
24,7.4,147,"Adventure, Action, Science Fiction",Spring,PG-13,1532807379.7903054,331763156.5618194
25,7.777,165,"Action, Crime, Drama, Thriller",Summer,PG-13,1499478881.3129508,346767255.6415856
26,6.928,130,"Action, Adventure, Science Fiction",Spring,PG-13,1659620780.1459093,273058884.83585197
27,7.39,135,"Action, Adventure, Science Fiction",Winter,PG-13,1712276182.3687704,253684435.60457826
28,7.427,115,"Action, Adventure, Fantasy",Fall,PG-13,897542985.3011193,238869472.72450995
29,7.582,121,"Action, Adventure, Science Fiction",Spring,R,509668354.3753503,201791131.6306315
30,8.215,153,"Drama, Thriller, War",Summer,R,478662876.13986725,104232676.43255992
31,7.193,142,"Science Fiction, Adventure, Fantasy",Spring,PG-13,963173411.0939051,104030176.69247569
32,7.345,133,"Action, Adventure, Science Fiction, Drama",Summer,PG-13,1139538875.1625562,226569867.2783202
33,7.721,161,"Adventure, Fantasy",Fall,PG,1556357192.2123094,177526821.00508186
34,7.624,137,"Science Fiction, Adventure, Action",Spring,PG-13,1118291964.7766626,258936991.17522305
35,8.385,179,"Adventure, Fantasy, Action",Winter,PG-13,1644408574.5906267,140246188.59401467
36,6.995,124,"Action, Adventure, Science Fiction",Summer,PG-13,529041639.3637358,199870131.63929287
37,5.909,123,"Action, Adventure, Fantasy",Summer,PG-13,991105132.0873221,232234209.59327355
38,8.02,141,"Adventure, Fantasy",Spring,PG,1340791316.2937365,220691144.70842332
39,6.768,115,"Adventure, Fantasy, Action",Spring,PG-13,641478359.2049876,214146569.61352807
40,6.835,124,"Adventure, Action, Science Fiction",Spring,PG-13,905290300.1398329,290188151.5734677
41,7.701,140,"Action, Crime, Drama",Summer,PG-13,616960413.1683272,247299423.17776614
42,7.595,131,"Action, Adventure, Science Fiction",Fall,PG-13,1107346380.9618719,233043292.05770075
43,7.922,95,"Animation, Family, Adventure, Drama, Comedy",Summer,PG,1153722195.336896,235422986.9024034
44,6.682,124,"Action, Adventure, Science Fiction, Thriller",Summer,PG-13,2248676215.918222,201791131.6306315
45,8.368,127,"Crime, Mystery, Thriller",Fall,R,684676303.8562874,69029940.11976047
46,7.816,157,"Adventure, Fantasy",Fall,PG-13,1477071702.7708442,247299423.17776614
47,7.794,143,"Adventure, Fantasy, Action",Summer,PG-13,1133382106.9102917,242245459.54870665
48,8.105,130,"Fantasy, Adventure",Summer,PG-13,1915200170.9794161,178455474.67794007
49,8.204,121,"Adventure, Action, Science Fiction",Spring,PG,4167267237.6205125,59117948.71794871
50,7.236,141,"Action, Adventure, Fantasy",Spring,PG-13,1065337064.9623823,192908058.4255412
51,7.949,96,"Animation, Comedy, Family, Adventure",Spring,PG,1094590639.4282546,260581691.0813998
52,7.082,117,"Science Fiction, Action, Adventure",Summer,PG-13,698616993.9111793,174885647.41321397
53,8.707,175,"Drama, Crime",Spring,R,1874668603.8540144,45897810.2189781
54,7.678,141,"Drama, Adventure, Science Fiction",Fall,PG-13,848329917.3751748,145289614.77405468
55,8.314,116,"Adventure, Comedy, Science Fiction",Summer,PG,1135743214.9080567,56621800.94786729
56,7.293,136,"Adventure, Action, Science Fiction",Winter,PG-13,2782327903.6811047,329592181.66336477
57,7.99,148,"Action, Adventure, Science Fiction",Winter,PG-13,2309901796.3713098,240383512.6270156
58,7.686,138,"Adventure, Fantasy",Summer,PG-13,1457266643.087503,232985534.74033672
59,7.697,153,"Adventure, Fantasy",Summer,PG,1390700954.030207,372259558.687714
60,7.8,137,"Action, Drama, Science Fiction",Winter,R,801437740.5540296,125584440.71998319
61,7.824,100,"Animation, Family",Spring,G,1627085814.63071,162650522.8398459
62,7.242,135,"Horror, Fantasy",Fall,R,908609902.0338577,51787398.23504461
63,7.421,101,"Action, Thriller",Fall,R,119302083.73262197,26881444.62114605
64,7.334,132,"Fantasy, Adventure, Family",Fall,PG-13,1074039867.213696,238869472.72450995
65,7.763,146,"Adventure, Fantasy",Fall,PG-13,1384641279.3531682,362735189.4668346
66,8.222,105,"Family, Animation, Fantasy, Music, Comedy, Adventure",Fall,PG,1036428988.4079574,226569867.2783202
67,7.671,136,"Action, Adventure, Science Fiction",Spring,PG-13,960697901.1132201,228492279.27974144
68,7.279,121,"Fantasy, Action",Spring,PG-13,1458753068.5172217,246762281.19706377
69,8.078,98,"Animation, Family, Science Fiction",Summer,G,776484976.236498,268106878.9084707
70,7.892,149,"Mystery, Thriller, Drama",Fall,R,496406684.9946134,81988406.09449546
71,7.339,169,"Adventure, Fantasy, Action",Winter,PG-13,1416341128.0047648,346767255.6415856
72,7.835,92,"Animation, Comedy, Family",Fall,G,1040891563.833238,206487721.30211306
73,7.971,81,"Animation, Adventure, Family, Comedy",Fall,G,825012375.2495009,62754491.017964065
74,7.5,157,"Western, Drama, Adventure",Winter,R,716964567.3565618,181612018.46756834
75,5.952,152,"Action, Adventure, Fantasy",Spring,PG-13,1159362975.9205794,331763156.5618194
76,8.256,89,"Family, Animation, Drama",Summer,G,1641794995.74829,96771545.82763338
77,8.209,155,"Action, Drama, Adventure",Spring,R,866762759.0900474,191843601.89573458
78,8.133,103,"Comedy, Drama",Summer,PG,513853727.6881188,116732673.26732673
79,7.704,115,"Action, Adventure, Animation, Family",Fall,PG,1071951370.0043197,156181425.4859611
80,7.6,116,"Drama, Science Fiction, Mystery",Fall,PG-13,269906826.3789697,62371473.43362204
81,8.515,133,"Comedy, Thriller, Drama",Spring,R,321744113.8062548,14192915.713196034
82,6.538,112,"Action, Adventure, Fantasy",Fall,PG-13,880318825.8467952,232100052.1104742
83,6.691,136,"Action, Adventure, Fantasy",Summer,PG-13,1051302143.9004699,298219839.8517636
84,7.337,117,"Horror, Thriller",Winter,PG-13,360510668.200742,11652164.602885038
85,7.492,120,"Action, Comedy, Adventure",Spring,R,996848688.4885845,139526439.58251804
86,8.218,144,"Horror, Thriller",Spring,R,180968700.61696655,76781491.00257069
87,7.97,111,"Action, Crime",Fall,R,313026253.68409467,51909741.33186571
88,7.4,146,"Adventure, Action, Science Fiction",Fall,PG-13,1180995713.6633663,177488275.14330378
89,8.277,113,"Drama, Comedy",Fall,R,609016440.3536415,18559369.36650577
90,7.62,104,"Mystery, Thriller, Horror",Winter,R,330672855.0751732,5826082.301442519
91,8.007,113,"History, Drama, Thriller, War",Fall,PG-13,313915741.5277279,18817011.234802235
92,7.997,135,"Music, Drama, History",Fall,PG-13,1146644644.403652,65957953.25719035
93,8.507,189,"Fantasy, Drama, Crime",Winter,R,548815289.0176506,114814363.96835056
94,7.173,113,"Action, Mystery, Science Fiction, Thriller",Fall,PG-13,468167052.6958395,45698455.855948284
95,7.312,100,Comedy,Summer,R,698821778.7868885,52116338.21627996
96,8.4,124,"Adventure, Action, Science Fiction",Spring,PG,2175744987.146529,72740359.89717223
97,7.73,90,"Animation, Comedy, Fantasy, Adventure, Family",Spring,PG,875962785.8823528,107732724.1576242
98,7.809,111,"Animation, Comedy, Family, Fantasy",Summer,G,968794237.6096752,232985534.74033672
99,7.636,129,"Crime, Comedy, Action, Adventure",Winter,R,556918406.8742626,108869850.71564151
100,7.897,129,"Comedy, Drama, Romance, Music",Fall,PG-13,593733556.6529909,39811578.78741833
101,7.2,102,"Animation, Family, Adventure, Fantasy",Fall,PG,1739684108.1709223,204794163.626889
102,7.456,107,"War, Action, Drama",Summer,PG-13,682298971.7467128,194202743.3814173
103,7.748,109,"Animation, Adventure, Family, Comedy",Winter,PG,1358615504.6852047,199057893.93709162
104,6.44,89,"Action, Science Fiction",Summer,R,616745822.6029856,53762889.2422921
105,7.941,127,"Adventure, Science Fiction",Summer,PG-13,2028607573.6325386,138900420.75736326
106,8.3,119,"Crime, Drama, Thriller",Winter,R,637075591.9524517,44380386.329866275
107,8.539,125,"Animation, Family, Fantasy",Summer,PG,493640490.3940605,34115362.64991433
108,6.967,129,"Family, Fantasy, Romance",Spring,PG,1639221290.9853852,207149592.94017845
109,7.346,151,"Adventure, Fantasy, Action",Summer,PG-13,1689578642.9288952,317095310.1361573
110,7.738,102,"Adventure, Family, Animation, Action, Comedy",Fall,PG,884168116.4315395,221771918.12445492
111,7.345,116,"Thriller, Crime",Spring,PG-13,480206801.03178734,102397081.8134445
112,6.796,123,"Science Fiction, Adventure, Thriller",Fall,PG-13,1015253979.7978761,168009028.8821628
113,6.826,112,"Science Fiction, Action",Fall,PG-13,1085877391.8044758,147136972.6506554
114,8.203,130,"Drama, Mystery, Science Fiction",Fall,PG-13,173889219.2556732,63419062.027231455
115,7.201,101,"Drama, Science Fiction, Thriller",Winter,PG-13,909280493.3839222,232985534.74033672
116,8.209,169,"Drama, History, War",Summer,R,937442956.6188118,136188118.81188118
117,6.843,124,"Action, Adventure, Science Fiction",Spring,PG-13,1413191785.1449275,189855072.46376812
118,7.5,113,"Action, Crime",Summer,R,293822389.94889617,44019288.49978792
119,8.573,195,"Drama, History, War",Winter,R,708536705.9242637,48504908.83590463
120,7.892,132,"Adventure, Action, Science Fiction",Spring,PG,1841072392.6380365,103996319.0184049
121,7.447,129,"Action, Adventure, Science Fiction",Summer,PG-13,1413830734.897025,199847444.6987033
122,7.227,143,"Action, Adventure, Thriller",Fall,PG-13,1584686542.4657536,277413804.5132685
123,7.162,91,"Science Fiction, Thriller, Drama",Fall,PG-13,987370967.7436165,143355914.5388223
124,7.5,132,"Action, Adventure, Science Fiction",Spring,PG-13,1005181588.5189555,336018057.7643256
125,7.6,140,"Adventure, Action, Science Fiction",Spring,PG-13,770279979.7052451,221973881.15400597
126,6.807,116,"Action, Drama, Horror, Science Fiction, Thriller",Summer,PG-13,726152318.916102,273058884.83585197
127,7.971,141,"Drama, Crime",Winter,PG-13,625097344.3975154,92313946.92264257
128,7.488,133,"Action, Adventure, Science Fiction",Winter,PG-13,1401443577.602188,265410525.2494555
129,6.825,152,"Adventure, Action, Science Fiction",Winter,PG-13,1725425125.9147005,258936991.17522305
130,6.614,143,"Action, Adventure, Science Fiction",Summer,PG-13,912078820.8233454,307191245.4403335
131,7.227,95,"Family, Animation, Comedy",Summer,PG,774337301.9147432,100114912.29284635
132,7.258,127,"Action, Adventure, Fantasy",Summer,PG-13,1339385512.0043197,339524838.01295894
133,8.404,117,"Action, Adventure, Animation, Science Fiction",Winter,PG,476247659.94989246,114157996.02206022
134,7.04,115,"Adventure, Comedy, Family, Fantasy",Summer,PG,783063340.7823807,247299423.17776614
135,8.381,107,"Drama, Music",Fall,R,17596593.649002206,4435438.362489099
136,8.166,151,"Drama, Thriller, Crime",Fall,R,462110922.8441754,142692889.56127077
137,8.049,100,"Comedy, Drama",Winter,R,234675438.95757452,40322166.93171908
138,7.792,103,"Animation, Family, Comedy",Summer,G,1548109829.4923089,290188151.5734677
139,8.188,113,"Mystery, Thriller",Fall,R,73986619.56398104,16763033.17535545
140,8.101,108,"Science Fiction, Drama, Romance",Spring,R,122667142.6263499,33952483.8012959
141,8.316,111,"Crime, Drama, Action",Fall,R,97384376.37209304,34407660.73871409
142,7.672,108,"Drama, Thriller, Horror",Winter,R,477937050.5032604,18862229.852275398
143,7.897,132,"Action, Thriller, Science Fiction",Winter,R,210093138.69894096,85615733.73676246
144,6.5,136,"Adventure, Action, Science Fiction",Spring,PG,1768748875.442483,220060864.2726719
145,7.862,126,"Romance, Science Fiction, Drama",Winter,R,64648398.968212605,31401771.75612298
146,7.239,169,"Adventure, Fantasy, Action",Spring,PG-13,1492660659.236424,465971069.48067343
147,7.309,144,"Action, Adventure, Fantasy",Winter,PG-13,1284959649.3920894,336018057.7643256
148,8.132,99,"Crime, Thriller",Fall,R,6510538.740043446,2731933.3816075306
149,7.746,188,"Drama, Mystery, Western",Winter,R,209540068.4823304,59192065.27831857
150,8.147,117,"Horror, Science Fiction",Spring,R,483024278.6881405,50635431.91800878
151,7.202,129,"Action, Adventure, Crime, Mystery",Winter,PG-13,780298739.1369829,134013441.12757704
152,6.627,108,"Family, Fantasy, Adventure",Spring,PG,1487892025.7514293,290188151.5734677
153,6.538,137,"Adventure, Action, Fantasy",Spring,PG-13,1492906823.3054674,541076999.2235143
154,6.398,139,"Fantasy, Action, Adventure",Spring,PG-13,1390121198.2807684,400735119.75337917
155,7.396,91,"Horror, Drama, Science Fiction",Spring,PG-13,432531962.7058059,21563177.02638915
156,6.9,143,"Action, Adventure, Fantasy",Winter,PG-13,1456818885.7701912,202947548.4836626
157,7.876,136,"Action, Crime, Thriller",Spring,R,258309581.74082074,50928725.701943845
158,6.936,117,"Animation, Adventure, Comedy, Family",Summer,G,732463449.5491678,190257186.08169436
159,7.589,92,"Animation, Comedy, Family",Fall,G,951747678.7194155,172221545.95252585
160,7.184,98,"Action, Adventure, Comedy, Science Fiction",Summer,PG-13,1164703868.3947203,177850408.54808298
161,7.606,114,"Action, Science Fiction",Spring,PG-13,498034212.6506951,239244857.12819985
162,7.175,117,"Action, Adventure, War",Spring,R,708403923.7965379,100960398.38747925
163,6.827,119,"Adventure, Action, Comedy, Fantasy",Winter,PG-13,1288650580.7749166,116521646.02885038
164,7.931,118,"Science Fiction, Drama, Thriller",Summer,R,139104242.90137857,93353128.31389183
165,7.411,140,"Adventure, Action, Science Fiction",Spring,PG-13,1401363398.0073414,186298898.79391715
166,8.195,139,"Drama, History, War",Fall,R,232635449.26302993,53082105.0498911
167,6.286,122,"Fantasy, Drama, Romance",Fall,PG-13,586285380.6480955,55110858.44229676
168,7.012,93,"Animation, Adventure, Comedy, Family, Action, Fantasy",Summer,PG,747606910.1131626,256607769.17477337
169,6.951,119,"Action, Adventure, Science Fiction",Summer,PG-13,789813687.5889086,177579104.92320478
170,7.09,97,"Fantasy, Adventure, Action, Family, Romance",Spring,PG,1019532261.1706766,241933001.59031445
171,6.934,116,"Drama, Romance, Science Fiction",Winter,PG-13,402288243.0431039,145975788.88720053
172,7.398,127,"Adventure, Drama",Fall,PG,844748011.5412613,166448282.70796108
173,7.572,108,"Drama, Science Fiction",Winter,R,49599471.824121654,20179113.16306315
174,6.498,141,"Action, Adventure, Fantasy",Spring,PG-13,952896571.210178,268814446.21146053
175,7.544,164,"Science Fiction, Drama",Fall,R,335633685.1790692,194202743.3814173
176,7.348,81,"Animation, Comedy, Family, Adventure",Spring,PG,680384209.8159231,104740824.3929983
177,6.6,142,"Adventure, Action, Science Fiction",Spring,PG,1152856207.3585544,213032185.20609823
178,6.098,120,"Action, Adventure, Science Fiction",Fall,PG-13,851808172.1338005,388405486.7628346
179,7.57,161,"Fantasy, Adventure, Action",Winter,PG-13,1308498176.1334028,341323606.044815
180,7.437,162,"Comedy, Drama, Thriller",Summer,R,467457221.17658275,118659420.28985508
181,8.455,116,"Comedy, Drama",Winter,PG-13,454701746.9717159,39522313.0106851
182,6.513,144,"Action, Adventure, Science Fiction, Fantasy",Spring,PG-13,721830087.5956035,236215367.47201538
183,7.471,120,"Drama, Comedy",Fall,R,138728541.6713692,24193300.159031447
184,6.92,139,"Action, Adventure, Science Fiction",Spring,PG-13,388283405.92007387,114246139.63987072
185,7.427,133,"War, Action",Winter,R,728900347.9505463,79031447.18616939
186,7.813,98,"Fantasy, Adventure, Animation, Family",Spring,PG,718040794.7057275,239405225.0481108
187,7.481,118,"Action, Adventure, Animation, Family",Summer,PG,1576401880.3213012,253684435.60457826
188,7.716,105,"Fantasy, Drama, Romance",Winter,PG-13,130794348.50863421,49356357.92778649
189,7.323,122,"Action, Thriller, Crime",Winter,R,222090111.0315888,51787398.23504461
190,7.296,132,"Action, Science Fiction, Adventure",Summer,PG-13,504849287.24792594,228423007.58776328
191,8.2,137,"Science Fiction, Drama",Winter,R,210039738.69346735,17378894.47236181
192,7.579,166,"Drama, Fantasy, Romance",Winter,PG-13,500172427.12905055,223422399.09039226
193,7.646,108,"Action, Thriller, Science Fiction",Fall,R,241804762.31599605,19746418.056918547
194,7.752,108,"Adventure, Comedy, Science Fiction",Fall,PG,861938893.4764657,103848059.45499586
195,8.104,137,"Action, Thriller, Science Fiction",Summer,R,1214621099.5542347,238252600.29717684
196,8.464,145,"Drama, Crime",Fall,R,115580251.17739402,61695447.40973312
197,7.572,100,"Drama, Thriller, Crime",Fall,R,111434486.77022834,21414656.961352807
198,6.878,131,"Action, Science Fiction, Adventure",Summer,PG-13,561139975.8832725,245752996.3522668
199,6.9,137,"Action, Adventure, Science Fiction",Fall,PG-13,879040188.1775042,215243873.73934025
200,7.3,101,"Family, Animation, Comedy, Adventure",Fall,PG,653618672.0561181,228866388.72344652
201,7.8,114,"Fantasy, Drama, Mystery",Fall,R,13466590.519703025,10773272.41576242
202,6.407,107,"Comedy, Fantasy",Summer,R,762011771.7159685,69353451.12831712
203,7.379,143,"Drama, Romance",Spring,PG-13,479273526.7222511,143355914.5388223
204,7.6,107,"Adventure, Comedy, Family, Animation",Fall,PG,916808203.7380338,199057893.93709162
205,7.247,123,"Drama, Fantasy, Romance",Winter,R,252895100.42785546,25246356.639584247
206,7.924,115,"Adventure, Action",Summer,PG,1409111784.8551724,65048275.86206896
207,7.3,88,"Comedy, Horror",Fall,R,152464917.97502166,35141302.340120204
208,7.042,97,"Adventure, Animation, Comedy, Family",Summer,PG,1364967699.5289469,265410525.2494555
209,7.918,110,"Drama, Romance",Summer,PG-13,275954057.8939371,26541052.52494555
210,7.99,119,"War, History, Thriller",Winter,R,492921546.5102975,124904652.93668956
211,8.167,132,"Romance, Drama",Fall,R,55856652.60687121,5178739.823504461
212,7.13,122,"Drama, Comedy, Romance",Fall,R,327920390.1052214,29128449.47389319
213,7.249,93,"Animation, Family, Comedy, Fantasy, Adventure",Spring,PG,1576686749.9352052,254643628.50971922
214,5.819,158,"Action, Adventure, Science Fiction",Fall,PG-13,1178153594.93045,297807646.9501712
215,8.591,202,"Drama, Crime",Winter,R,692219742.4892703,87708154.50643776
216,8.0,122,Drama,Fall,R,681799460.465003,28703590.99208764
217,6.535,124,"Science Fiction, Adventure, Mystery",Spring,R,559480489.0635961,180318972.9336245
218,7.358,121,Drama,Fall,PG-13,326346052.30586046,58037630.31469353
219,6.648,128,"Adventure, Action, Fantasy",Spring,PG-13,1030468625.2669463,297777539.85150653
220,7.847,131,"Comedy, Crime, Mystery",Fall,PG-13,390824061.02212054,49961861.17467582
221,8.149,127,Drama,Winter,R,446470596.8824639,19761156.50534255
222,5.882,125,"Drama, Romance, Thriller",Winter,R,768159818.2476348,53810968.43483506
223,7.384,109,"Comedy, Drama, Romance",Summer,PG-13,517984884.29652035,55491679.27382752
224,8.2,114,"Crime, Drama",Winter,R,161723741.00719422,10743884.89208633
225,7.503,136,"Music, Drama, Romance",Fall,R,550354260.4316024,45663198.408824086
226,7.518,135,"War, Drama, Action",Fall,R,284698565.495306,91396911.71189657
227,6.204,114,"Science Fiction, Action, Adventure",Summer,PG-13,243846295.5542922,223422399.09039226
228,7.12,117,"Action, Crime",Spring,R,139564399.8172479,40626341.220285475
229,6.939,115,"Action, Science Fiction",Summer,PG-13,589474393.036717,203714902.80777538
230,7.933,122,"Crime, Drama, Thriller",Summer,R,266577646.97652358,38830922.45672279
231,7.289,105,"Thriller, Action, Drama, Science Fiction",Summer,PG-13,689352348.1380236,132770873.16038741
232,7.43,116,"Thriller, Crime",Winter,PG-13,809283106.5676756,152621359.22330096
233,7.944,107,"Mystery, Thriller, Drama",Summer,PG-13,1287463774.8314059,76542909.31223372
234,7.905,122,"Comedy, Romance",Spring,R,312284764.92061675,17955454.026270702
235,8.168,169,"Action, Crime, Drama",Winter,R,212246775.4355828,80368098.1595092
236,8.091,153,"Drama, Thriller, Crime",Fall,R,166738884.80458573,62803543.51224596
237,8.352,119,Drama,Summer,R,46450123.32178218,38910891.08910891
238,7.541,112,"Horror, Thriller",Summer,R,437448855.6748306,17748827.51433038
239,7.598,126,"Romance, Drama",Spring,PG-13,412854411.8811881,18817011.234802235
240,7.88,123,"Romance, Drama",Summer,PG-13,196250838.0,49231101.51187905
241,7.945,134,"Drama, History",Fall,R,255310057.3215216,27305888.483585197
242,6.953,109,"Action, Thriller, Science Fiction",Fall,PG-13,248310936.5615762,57105751.89694082
243,7.645,95,"Animation, Family, Adventure, Fantasy, Romance",Fall,G,1147526349.410572,63745112.23750905
244,8.242,130,"Drama, Comedy",Fall,PG-13,405514570.31391835,29173710.0945265
245,7.599,100,"Animation, Family",Fall,PG,859626874.435476,377244597.04550797
246,7.662,143,"Adventure, Drama",Winter,PG-13,800215316.6161137,167630331.7535545
247,6.996,104,"Adventure, Action, Science Fiction",Summer,PG-13,551949924.6966825,139691943.12796208
248,6.916,98,"Animation, Comedy, Family",Summer,PG,1325375788.796248,103762376.23762375
249,7.24,90,"Action, Adventure, Animation, Family, Comedy",Summer,PG,940972568.0500283,193632745.87833995
250,6.8,143,"Adventure, Science Fiction, Action",Summer,PG-13,1102347417.3583117,232985534.74033672
251,7.512,115,"Science Fiction, Adventure, Family, Fantasy",Summer,PG,2643778931.0710497,35007423.117709436
252,7.387,94,"Action, Thriller",Winter,PG-13,337860197.93064237,37237066.51506537
253,6.548,129,"Action, Adventure, Science Fiction, Thriller",Summer,PG-13,1662224513.3979108,215631770.26389152
254,7.842,117,"Comedy, Crime",Spring,R,91460983.36633663,29183168.316831682
255,7.306,130,"Science Fiction, Action, Drama, Thriller",Summer,PG-13,955157627.3123685,228492279.27974144
256,8.312,128,Drama,Summer,PG,612340383.7357556,42577704.376548305
257,6.876,134,"Fantasy, Adventure, Family",Fall,PG-13,830633748.2375629,253684435.60457826
258,7.775,131,"Action, Thriller",Summer,R,382518974.6447709,76086430.42350906
259,6.83,129,"Crime, Thriller, Action, Mystery",Summer,PG-13,444431698.7995745,119434736.36225498
260,7.412,103,"Comedy, Family",Fall,PG,1176370971.899529,44420722.13500784
261,7.039,138,"Adventure, Action, Thriller, Science Fiction",Spring,R,1278017314.2234452,259548706.65932858
262,6.892,86,"Family, Animation, Adventure, Comedy",Spring,PG,893680509.6088097,123649711.58888307
263,7.86,123,"Drama, Romance",Fall,PG-13,166297605.58149078,20161083.46585954
264,7.703,118,"Crime, Drama, Thriller",Fall,R,67606833.22218232,11424613.963987071
265,6.817,131,"Action, Thriller, Crime",Spring,PG-13,1076781728.0667014,218447107.86868158
266,6.618,124,"Action, Science Fiction, Adventure, Mystery",Spring,PG-13,390704355.7269411,163835330.9015112
267,6.706,101,"Fantasy, Comedy",Spring,PG-13,838503024.6868465,138425976.88497522
268,7.994,116,Drama,Winter,R,402098099.69300735,49152927.79988629
269,7.238,137,"Action, Thriller, Crime",Spring,PG-13,2038549704.739695,255602100.06546655
270,6.395,91,"Family, Animation, Adventure, Comedy",Summer,PG,1556120332.09446,99550291.60444488
271,7.543,144,"Adventure, Action, Thriller",Fall,PG-13,949773322.3600603,237821482.60211796
272,7.53,126,"Adventure, Fantasy, Action, Thriller, Science Fiction",Spring,PG-13,521536798.1898177,177850408.54808298
273,7.734,120,"Drama, Romance",Fall,R,563635940.8982376,22342239.909039225
274,7.0,104,"Animation, Family",Summer,G,1015177785.4820218,273058884.83585197
275,7.186,105,"Thriller, Mystery, Science Fiction",Spring,PG-13,231063370.54712722,38546382.530435055
276,6.533,148,"Action, Adventure, Thriller",Fall,PG-13,1184748839.6564927,329592181.66336477
277,7.8,103,Drama,Fall,PG-13,46328105.35371584,18031897.293362454
278,7.757,118,"Fantasy, Drama, War",Fall,R,132003964.97428137,30124054.46293494
279,7.239,104,"Adventure, Fantasy, Family",Winter,PG,549775235.768463,135968063.87225547
280,7.654,192,"Science Fiction, Adventure, Action",Winter,PG-13,2492267469.581141,494103177.3146566
281,7.126,143,"Adventure, Family, Fantasy",Winter,PG,1228275423.995805,296759307.8133194
282,7.4,102,"Thriller, Drama, Crime",Spring,R,63823505.459715635,13037914.691943126
283,6.254,107,"Adventure, Action, Thriller, Science Fiction",Spring,PG-13,555504868.4616586,223355735.2126284
284,6.468,102,Comedy,Spring,R,837690420.5827729,114211503.79388164
285,7.13,129,"Adventure, Action, Crime, Mystery",Fall,PG-13,477711029.27487135,178455474.67794007
286,6.887,136,"Action, Crime, Thriller",Spring,PG-13,1600237231.6604826,323671238.96902883
287,7.447,131,"Action, Thriller, Crime",Spring,R,408075650.6197559,68697559.11517926
288,6.514,118,"Action, Adventure, Fantasy",Spring,PG-13,733636870.9012966,239516716.83708134
289,7.465,119,"Adventure, Comedy, Science Fiction",Spring,PG,603449545.4882259,98712715.85557298
290,6.51,106,"Action, Comedy, Science Fiction",Spring,PG-13,865568210.2415459,312090530.077427
291,6.7,131,"Science Fiction, Action, Thriller, Adventure",Fall,PG-13,420123830.2934871,82061726.86312348
292,8.136,117,"Drama, War",Summer,R,131068824.94964027,84820143.88489208
293,7.0,108,"Action, Crime",Winter,R,250296372.42325687,91405623.11267544
294,6.878,109,"Action, Comedy, Crime",Spring,R,279612763.87267554,58256898.94778638
295,8.42,133,Drama,Fall,R,657652838.0038388,18103646.833013434
296,6.877,118,"Action, Thriller, Science Fiction",Fall,R,65250500.959565885,41612070.67699027
297,8.195,106,"Drama, Crime, Thriller",Summer,R,48826273.98003992,12550898.203592813
298,7.5,157,"Crime, Drama, Mystery, Thriller",Spring,R,131692610.07825468,100960398.38747925
299,6.677,120,"Action, Comedy, Drama, Thriller",Summer,PG-13,803373025.18301,181352910.33036184
300,6.972,141,"Action, Adventure, Comedy",Fall,R,531989494.82084835,134647235.411116
301,7.659,124,"Horror, Thriller, Adventure",Summer,PG,2840178564.299424,42241842.61036468
302,6.6,108,"Action, Adventure, Comedy, Family, Fantasy",Winter,PG,910825902.2208773,174402420.5748865
